kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
hermite(good),omega=2.0,Reduced Rank,2,,2,0.0007927059544612369,3
hermite(bad),omega=2.0,Reduced Rank,2,,4,0.04655898349573451,5
hermite(ugly),omega=2.0,Reduced Rank,2,,4,4.6867195039934915,5
hermite(good),omega=2.0,Reduced Rank,3,,4,2.127817542133828,5
hermite(bad),omega=2.0,Reduced Rank,3,,3,0.0022364591013801505,3
hermite(ugly),omega=2.0,Reduced Rank,3,,3,5.234342982050328,5
hermite(good),omega=2.0,Reduced Rank,4,,4,2.4108830297640957,5
hermite(bad),omega=2.0,Reduced Rank,4,,4,1.382376255861267,5
hermite(ugly),omega=2.0,Reduced Rank,4,,1,5.076077625044068,5
hermite(good),omega=2.0,Reduced Rank,5,,3,1.1180467215974716,5
hermite(bad),omega=2.0,Reduced Rank,5,,5,0.6544273076959486,5
hermite(ugly),omega=2.0,Reduced Rank,5,,3,3.530957588678967,4
hermite(good),omega=2.0,Reduced Rank,6,,4,3.0710878718234857,5
hermite(bad),omega=2.0,Reduced Rank,6,,5,0.8414514583318944,5
hermite(ugly),omega=2.0,Reduced Rank,6,,1,4.502698351007863,5
hermite(good),omega=2.0,Reduced Rank,7,,4,0.3869876914333983,5
hermite(bad),omega=2.0,Reduced Rank,7,,4,0.0012655309652173097,5
hermite(ugly),omega=2.0,Reduced Rank,7,,3,5.016722444532809,5
hermite(good),omega=2.0,Reduced Rank,8,,4,1.9810238060376435,5
